geoid	name	type	county	population	municode_client	hint	hint_status	notes
12125	Union	county	Union	15738				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
12047	Hamilton	county	Hamilton	14334	11540	www.hamiltoncountyflorida.com/	unreachable (URLError)	no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline; Municode client with no published code product
12067	Lafayette	county	Lafayette	8640	13558			no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline; Municode client with no published code product
1235375	Jasper	city	Hamilton	3549				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1227000	Graceville	city	Jackson	2219				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1242650	Malone	town	Jackson	1642				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1221850	Fanning Springs	city	Levy	1341	15332	www.fanningsprings.org/	live	no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline; Municode client with no published code product
1227175	Grand Ridge	town	Jackson	925				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1214850	Cottondale	town	Jackson	879				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1255875	Penney Farms	town	Clay	835				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1235525	Jennings	town	Hamilton	772				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1265425	Shalimar	town	Okaloosa	757				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1274125	Vernon	city	Washington	744				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1239700	Lawtey	city	Bradford	682				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1255475	Paxton	town	Walton	668				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1239650	Laurel Hill	city	Okaloosa	606				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1204975	Bell	town	Gilchrist	582				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1227600	Greenwood	town	Jackson	561				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1258175	Ponce de Leon	town	Holmes	518				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1259675	Reddick	town	Marion	516				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1226075	Glen St. Mary	town	Baker	504				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1201000	Altha	town	Calhoun	495				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1250875	Ocean Breeze	town	Martin	402				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1221425	Everglades	city	Collier	396				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1275450	Wausau	town	Washington	390				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1239850	Lee	town	Madison	380				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
1278775	Worthington Springs	town	Union	380				no commercial code publisher carries this jurisdiction, having checked the Municode client list and library resolver, the American Legal Florida region listing, eCode360 and MunicipalCodeOnline
